nombre;cuit;domicilio;id_pais;contacto;email;telefono;activo
ASOCIACION OBRERA TEXTIL DE LA REPUBLICA ARGENTINA;30-53031305-7;LA PLATA AV. 754  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;dnmiguez84;"dnmiguez84@hotmail.com; dnmiguez84@hotmail.com";4923-4061 int 5736;1
ASOCIACION VECINAL NORDELTA S.A.;30-70722840-3;DEAN FUNES Y SARMIENTO 0 TIGRE BUENOS_AIRES;1;dchiappa;"dchiappa@avn-nordelta.com; cuentasapagar@avn-nordelta.com";David: 11 5127-3382;1
ATARUSIS S A;30-70763866-0;SARGENTO CABRAL 405 BOLIVAR BUENOS_AIRES;1;ventaspatronelli;ventaspatronelli@gmail.com;Gabriel +54 9 2241 54-5771;1
AUSTIN POWDER ARGENTINA S. A.;30-50398566-3;LUIS MAGGI 770 RAFAELA SANTA_FE;1;Soledad.Zbrun;Soledad.Zbrun@austinpowder.com;+54 9 3492 698571 | Telefono: +54 3492 424 775 e Int. 126;1
AUTOTRANSPORTES ISELIN S A;30-54640847-3;BALLOFFET 2050 SAN_RAFAEL MENDOZA;1;mariarosa.brocal;mariarosa.brocal@iselin.com.ar;2604557362;1
AWD MEDIA SA;30-71766913-0;OLLEROS AV. 1949 Piso:1  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;pmendioroz;pmendioroz@latamfs.com;+598 94 325 722;1
AW SOFTWARE SRL;30-67968042-7;MAIPU 521 Piso:4 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;natalia.soler;natalia.soler@awsoftware.com.ar;NULL;1
A.Y.NOT DEAD SA;30-70802598-0;MALABIA 1951  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;trinidad;"trinidad@aynotdead.com.ar; recepcion@aynotdead.com.ar; pamela.montenegro@aynotdead.com.ar";Trinidad cel11 5664 6634 / Pamela Montenegro  Tel +5411 4833 7999 Cel +54911 37040229;1
AZUL EDICIONES SRL;30-70970261-7;2 DE ABRIL 1358 BURZACO BUENOS_AIRES;1;administracion;administracion@edicionesazul.com.ar;4238-7615;1
BAFARM S.A.;30-71113556-8;RECONQUISTA 1034 Piso:7  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;comprasbafarm;comprasbafarm@gmail.com;Bernardo: 1159967719;1
BAHIA AUTOMOTORES S. A.;30-53940399-7;MONTEVIDEO 87 BAHIA_BLANCA BUENOS_AIRES;1;antonella.ruiz;antonella.ruiz@grupogrp.com.ar;Antonella 2914714003;1
BANCO DE SANTA CRUZ SOCIEDAD ANONIMA;30-50009880-1;AV. PTE. DR. N. C. KIRCHNER 812 RIO_GALLEGOS SANTA_CRUZ;1;ssomoza;"ssomoza@bancosantacruz.com; vvidal@bancosantacruz.com; proveedores@bancobsf.com.ar";02966-441200 int 1596;1
BANCO ROELA SA;30-53561044-0;ROSARIO DE SANTA FE 275  CORDOBA;1;ccaspari;ccaspari@bancoroela.com.ar;3534783930;1
BARDAPI S.A.S.;30-71608060-5;LOS CRISANTEMOS 392 Piso:204  BUENOS_AIRES;1;adela.osan;adela.osan@kwargentina.com;Adela 5411 58378794;1
BARON S A;30-68822929-0;ITALIA 325 LOMAS_DE_ZAMORA BUENOS_AIRES;1;ventas;ventas@baron-sa.com.ar;NULL;1
BASON ANDEBARON SA;30-71692792-6;  ;1;lghiglioni;lghiglioni@lasrishis.com;celular 2227-442670Laura Ghiglioni;1
BAYTON SERVICIOS EMPRESARIOS S A;30-65135053-7;SARMIENTO 1113 Piso:PB Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;vtravascio;"vtravascio@bayton.com.ar;srodriguez@bmolatam.com.ar";NULL;1
BAZOOKA REALTY S.R.L.;30-71123030-7;QUINTANA PTE. AV. 199  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;cdiz;cdiz@mirandabosch.com;Carolina Diz:  1122899779;1
BCD TRAVEL ARGENTINA SA;30-53128401-8;CAZADORES DE COQUIMBO 2860 Piso:PB   T:2 MUNRO BUENOS_AIRES;1;lucila.bruzoni;lucila.bruzoni@bcdme.com.ar;11 5958 8722;1
BDEV S.A.;30-71061587-6;ITALIA 415 Piso:1 VICENTE_LOPEZ BUENOS_AIRES;1;NULL;NULL;NULL;1
BEBIDAS SUDAMERICA S.A.;30-71476477-9;IRIGOYEN BERNARDO DE 972 Piso:7 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Clara.Ruzo;Clara.Ruzo@sodastream.com;1554872182;1
BEER TAN S.A.;30-70753418-0;ARANA 249 TANDIL BUENOS_AIRES;1;Beertan;Beertan@beertan.com.ar;NULL;1
Beesion Technologies SRL;30-71133179-0;Dorrego 1789 7 piso  ;1;ssaglietti;ssaglietti@beesion.com;NULL;1
BEIERSDORF S. A.;30-61625365-0;TRIUNVIRATO AV. 2902  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Martin.Woinski;Martin.Woinski@Beiersdorf.com;11 6194-5872;1
BELLAMAR ESTANCIAS SA;30-65719789-7;LIBERTADOR DEL AV. 1068 Piso:10  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;lucedo;lucedo@bellamar.com.ar;1131445156;1
BEMIS ARGENTINA SAU;30-52149483-9;FRIAS 1575 CHIVILCOY BUENOS_AIRES;1;Compras.AmcorSL;"Compras.AmcorSL@amcor.com; claudia.biondo@amcor.com";2346-558132;1
BENIGNI Y YAKICHE SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-71574247-7;PRINGLES 2985 OLAVARRIA BUENOS_AIRES;1;gerencia;gerencia@hoteldemetrio.com.ar;NULL;1
BERETTA GODOY SOCIEDAD CIVIL;30-71004456-9;SARMIENTO 580 Piso:4  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;grisolia;grisolia@berettagodoy.com;NULL;1
BE SINGULAR S.A.;30-71177044-1;NICARAGUA 5651 Piso:5  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;maria.eugenia.destefano;"maria.eugenia.destefano@besingular.com.ar;facturacion@besingular.com.ar";NULL;1
B.H.A.S.S.A.;30-65319095-2;AVDA. SPINETTO 1409  LA_PAMPA;1;albertobresso;albertobresso@bhassa.com.ar;Alberto (Beto Bresso) 11 6169-4021;1
BIENBA S.A.;33-71498213-9;BILLINGHURST 1645 Piso:5 Dpto:14  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;natasha;natasha@bienba.com;11 5131-9883;1
BIGOTEC S.R.L.;30-71483234-0;CARACAS 1751 Piso:PB  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
BLACKTORO CONSULTING SAU;30-71728922-2;URUGUAY 6991 Piso:2 Dpto:G  T:10 BOULOGNE BUENOS_AIRES;1;vducard;vducard@blacktoro.us;NULL;1
BLD ARGENTINA S.R.L.;30-71503039-6;COSTA RICA 5546 Piso:6 Dpto:604  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;ccarreno;ccarreno@blended.com.ar;Caterina 1163742096;1
BLUTEX S.A.;30-71078407-4;ALSINA ADOLFO 1351  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;kevin.wheeler;kevin.wheeler@blutex.com.ar;43815943 / 1563912236;1
BODEGAS SALENTEIN SA;30-69759871-1;VEDIA 3892 Piso:3 Dpto:DEREC S:- T:- M:-  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;jescudero;"jescudero@salentein.com; larbelo@salentein.com";4131-1100 / 4131-1199 Jorge Escudero: 0264-4960000;1
BODEGAS Y VIeEDOS TERRA ALTA WINES STATES S.A.S.;30-71620093-7;CORDOBA 16 SAN_RAFAEL MENDOZA;1;ventas;ventas@lamansa.com.ar;NULL;1
BOLSA DE COMERCIO DEL CHACO;30-71107685-5;ARTURO FRONDIZI 174 Piso:7 Dpto:- S:- T:- M:- RESISTENCIA CHACO;1;rromero;rromero@bcch.org.ar;NULL;1
BOSKALIS INTERNATIONAL B V SUCURSAL ARGENTINA;30-62868859-8;RECONQUISTA 559 Piso:5 Dpto:A  ;1;monica.gianello;monica.gianello@boskalis.com;+54 11 4312-5949;1
BOSTIK ARGENTINA S.A.;30-70953145-6;3 DE FEBRERO 2750 Piso:3  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;gabriela.alfonso;gabriela.alfonso@bostik.com;4784-6464 ext. 4509 / Mobil: 11 5580-4012;1
BOSTON COMPAeIA ARGENTINA DE SEGUROS S A;30-50000111-5;SUIPACHA 268 Piso:03  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;agustina;agustina@holaola.ar;Agustina Rembolo 1138816424;1
BP4 S.A.;30-71145513-9;MANSO JUANA 1750 Piso:4 Dpto:3  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;julieta.melucci;julieta.melucci@bp-4.com;NULL;1
BPO RECURSOS HUMANOS S.R.L.;33-71498583-9;CORDOBA AV. 679 Piso:7 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;mcutri;mcutri@bposolutions.com.ar;NULL;1
BRIGHTSTRONG;30-71713415-6;LIBERTADOR DEL AV. 8560 Piso:20 Dpto:D  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;macarenarivas21;macarenarivas21@gmail.com;NULL;1
BRISA SERVICIOS Y GESTION SOCIEDAD ANONIMA;30-71187972-9;ALEM LEANDRO N. AV. 1110 Piso:10    M:56  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;4311-7531;1
BROKER ROBLE SRL;30-71514862-1;CAMINO CENTENARIO 2550  BUENOS_AIRES;1;roble;roble@remax.com.ar;Magali: 0221-4821390;1
BRUSTARK S.A.;30-71434718-3;PARAGUAY 635 Piso:PB  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;malescio;malescio@hausler.com.ar;Matias:  5279 2990;1
BULLET TRAIN SRL;33-71602120-9;"GRAL. CARLOS MAR&#205;A DE ALVEAR 1248  Dpto:17 B FLORIDA BUENOS_AIRES";1;info;info@indisaargentina.com.ar;NULL;1
BUL.TOR.FER. S. A.;30-66868701-2;AVDA PIO X 208 RIO_TERCERO CORDOBA;1;marketingbultorfer;marketingbultorfer@gmail.com;NULL;1
BUREAU VERITAS ARGENTINA SA;33-65804377-9;ALEM LEANDRO N. AV. 855 Piso:2  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;victoria.nunnari.ext;victoria.nunnari.ext@bureauveritas.com;Tel.:+54 11 4000 8000 // Victoria cel.1527469867;1
BUREAU VERITAS ARGENTINA S.A.- ESYME S.R.L. UNION TRANSITORIA;30-71664512-2;ALEM LEANDRO N AV. 855 Piso:2 Dpto:- S:- T:- M:-  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
BUSINESS Y TRAVEL S R L;30-64272445-9;CORRIENTES AV. 753 Piso:4 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;flavias;flavias@topdest.com.ar;NULL;1
CAJA DE SEGURIDAD SOCIAL PARA PROFESIONALES DE LA KINESIOLOGIA DE LA PCIA DE BS AS;30-71098660-2;4 577  BUENOS_AIRES;1;compras;compras@cajakinesiologospba.org.ar;NULL;1
CAJA DE VALORES S A;30-55447591-0;25 DE MAYO 362  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;compras;compras@byma.com.ar;NULL;1
CALAFLOR S.A.;30-70844786-9;THAMES 1344  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;clara;"clara@ucollective.com.ar; marketing@naima.com.ar";NULL;1
CAMARA ARGENTINA DE COMERCIO Y SERVICIOS;30-52552504-6;ALEM LEANDRO N. AV. 36  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;sruggieri;sruggieri@cac.com.ar;5300-9000;1
CAMARA ARGENTINA DE ESPECIALIDADES MEDICINALES CAEME;33-52583944-9;ARIAS 1639 Piso:6  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rosario.medina;rosario.medina@caeme.org.ar;45079000;1
CAMARA ARGENTINA DE INTERNET - CABASE;30-65916135-0;SUIPACHA 128 Piso:3 Dpto:F  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;patriciagrela01;patriciagrela01@gmail.com;+54 91140502537 ;1
CAMBRILS DISTRIBUCIONES S.A.;30-71014714-7;RIVADAVIA AV. 5693 Piso:4 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;oriana;oriana@mirfitness.com.ar;0114574 4842;1
CANTERAS ARGENTINAS S.A.;30-51735377-5;VIAMONTE 494 Piso:07  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;oscarp;oscarp@canterasargentinas.com.ar;NULL;1
CAPUTO HERMANOS S.A.;33-70897527-9;SANTA FE AV. 1385 Piso:6  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
CARLOS ANDRES ECHEVARRIA;20-26288549-7;"C&#211;RDOBA ESTE 2616 SANTA_LUCIA SAN_JUAN";1;caechevarria;caechevarria@yahoo.com.ar;2644035858;1
CARLOS DANIEL ARQUES;23-18173799-9;HAEDO 957  CORDOBA;1;cdarques;cdarques@deligifts.com.ar;NULL;1
CARLOS ENRIQUE SERRA GRAU;20-08186133-2;GOMEZ VALENTIN 3438 Piso:9 Dpto:27  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;mari_he32;mari_he32@yahoo.com.ar;Mariela Hernandez 1152625114;1
CARLSON WAGONLIT TRAVEL  ARGENTINA S A;30-70745917-0;BUTTY ENRIQUE ING. 275 Piso:7 Dpto:112  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;AOreglia;AOreglia@cwt-me.com; Analia+54 11 2132 2192 | Internal 5412192;1
CAROLINA MULLER;27-28857532-6;ERCILLA 5663  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;mullercarolina2015;mullercarolina2015@gmail.com;NULL;1
CARRIER FUEGUINA S.A.;30-70943921-5;RUTA NACIONAL NRO 3 - KM 2.832,200 2832 CAPITAL_FEDERAL CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Dcastro;Dcastro@mideacarrier.com;11 4014-5017 / 1135728586;1
CARRIER S.R.L;33-50392124-9;VEDIA 3616 Piso:3  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;jloza;"jloza@mideacarrier.com;mrotenberg@mideacarrier.com";4014-5000;1
CASAL DE CATALUeA;30-52597282-4;CHACABUCO 863  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;info;info@casal.org.ar;Cristina Rolden Llaurade, 011-61449460;1
CASA OSLE S A C I F I Y A;30-52162224-1;25 DE MAYO 2765 LOS_POLVORINES BUENOS_AIRES;1;mosle;mosle@osle.com.ar;Milagros: 1153254938 / 4664-1200;1
CASINOS DEL LITORAL S.A. - HOCO S.A. - UNION TRANSITORIA;33-71163484-9;CARLOS PELLEGRINI 451  CORRIENTES;1;gciacompras;gciacompras@casinosdellitoral.com.ar;379 - 4425118 ;1
CASTELFIDARDO S.A.;30-71527253-5;"LUIS GARC&#205;A 1319 Piso:12 Dpto:A  T:A TIGRE BUENOS_AIRES";1;NULL;NULL;NULL;1
CASTEX PROPIEDADES SRL;30-57273886-4;AGUILAR 2698  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;esosa.castex;esosa.castex@gmail.com;NULL;1
C C AGRO  & TEC S.A.;30-71087919-9;SALGUERO JERONIMO 2731 Piso:6 Dpto:61  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rocioklapputh;rocioklapputh@agroytec.com;NULL;1
CECILIA BEATRIZ BARRETO;27-34741233-9;GENERAL URQUIZA 4179 FLORIDA BUENOS_AIRES;1;servitex_srl;servitex_srl@hotmail.com ;4760 9968 ;1
CELIA MARIA SCAREL;27-04761449-5;AVENIDA RIVADAVIA 192 VILLA_REGINA RIO_NEGRO;1;nelsondanielgonzalez1;nelsondanielgonzalez1@gmail.com;NULL;1
CEMETEC S.R.L;30-70857943-9;MOREAU DE JUSTO A.AV 846 Piso:2 Dpto:20  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;luciana.siri;"luciana.siri@cemetecsrl.com.ar; matias.fuentes@cemetecsrl.com.ar";4342-8697 / 6889;1
